"","V1","V2"
"256",11,61
"257",11,65
"258",11,66
"259",11,84
"260",11,87
"261",11,125
"262",11,161
"263",11,224
"264",11,234
"265",11,277
"266",11,300
"267",11,344
"268",11,346
"269",11,355
"270",11,381
"271",11,401
"272",11,453
"273",11,495
"274",11,500
"275",12,4
"276",12,29
"277",12,59
"278",12,62
"279",12,81
"280",12,156
"281",12,182
"282",12,198
"283",12,232
"284",12,276
"285",12,278
"286",12,280
"287",12,307
"288",12,349
"289",12,350
"290",12,355
"291",12,366
"292",12,376
"293",12,384
"294",12,390
"295",12,399
"296",12,409
"297",12,417
"298",12,444
"299",12,460
"300",12,467
"301",12,473
"302",12,475
"303",12,477
"304",13,24
"305",13,46
"306",13,54
"307",13,56
"308",13,65
"309",13,103
"310",13,112
"311",13,113
"312",13,142
"313",13,145
"314",13,199
"315",13,237
"316",13,251
"317",13,256
"318",13,276
"319",13,308
"320",13,324
"321",13,386
"322",13,391
"323",13,407
"324",13,452
"325",13,462
"326",13,473
"327",13,489
"328",14,7
"329",14,19
"330",14,30
"331",14,77
"332",14,82
"333",14,115
"334",14,135
"335",14,138
"336",14,154
"337",14,162
"338",14,190
"339",14,191
"340",14,249
"341",14,252
"342",14,253
"343",14,292
"344",14,301
"345",14,326
"346",14,354
"347",14,360
"348",14,451
"349",14,466
"350",15,2
"351",15,6
"352",15,7
"353",15,10
"354",15,30
"355",15,32
"356",15,51
"357",15,89
"358",15,109
"359",15,139
"360",15,148
"361",15,159
"362",15,177
"363",15,187
"364",15,198
"365",15,202
"366",15,244
"367",15,252
"368",15,277
"369",15,302
"370",15,323
"371",15,324
"372",15,340
"373",15,346
"374",15,359
"375",15,403
"376",15,432
"377",15,460
"378",15,463
"379",15,465
"380",15,472
"381",15,491
"382",15,497
"383",15,498
"384",16,54
"385",16,56
"386",16,62
"387",16,94
"388",16,130
"389",16,149
"390",16,166
"391",16,170
"392",16,172
"393",16,194
"394",16,215
"395",16,216
"396",16,222
"397",16,264
"398",16,281
"399",16,297
"400",16,314
"401",16,354
"402",16,377
"403",16,380
"404",16,392
"405",16,394
"406",16,395
"407",16,418
"408",16,489
"409",16,492
"410",17,10
"411",17,32
"412",17,35
"413",17,40
"414",17,83
"415",17,92
"416",17,99
"417",17,120
"418",17,133
"419",17,160
"420",17,183
"421",17,212
"422",17,222
"423",17,240
"424",17,242
"425",17,273
"426",17,319
"427",17,320
"428",17,326
"429",17,403
"430",17,416
"431",17,424
"432",17,486
"433",17,497
"434",17,498
"435",18,10
"436",18,26
"437",18,46
"438",18,84
"439",18,124
"440",18,127
"441",18,146
"442",18,174
"443",18,212
"444",18,213
"445",18,234
"446",18,238
"447",18,262
"448",18,292
"449",18,321
"450",18,335
"451",18,390
"452",18,394
"453",18,410
"454",18,412
"455",18,424
"456",18,432
"457",18,439
"458",18,442
"459",18,443
"460",18,446
"461",18,455
"462",18,473
"463",18,493
"464",19,10
"465",19,14
"466",19,40
"467",19,83
"468",19,94
"469",19,142
"470",19,146
"471",19,153
"472",19,183
"473",19,184
"474",19,185
"475",19,195
"476",19,202
"477",19,241
"478",19,253
"479",19,258
"480",19,285
"481",19,291
"482",19,307
"483",19,311
"484",19,334
"485",19,337
"486",19,339
"487",19,344
"488",19,404
"489",19,458
"490",19,490
"491",19,500
"492",20,3
"493",20,8
"494",20,37
"495",20,76
"496",20,79
"497",20,94
"498",20,103
"499",20,118
"500",20,167
"501",20,172
"502",20,203
"503",20,214
"504",20,222
"505",20,238
"506",20,258
"507",20,260
"508",20,261
"509",20,269
"510",20,302
"511",20,304
"512",20,313
"513",20,332
"514",20,367
"515",20,375
"516",20,408
"517",20,419
"518",20,423
"519",20,432
"520",20,465
"521",21,66
"522",21,70
"523",21,115
"524",21,150
"525",21,169
"526",21,201
"527",21,245
"528",21,261
"529",21,272
"530",21,294
"531",21,325
"532",21,376
"533",21,383
"534",21,390
"535",21,402
"536",21,446
"537",21,448
"538",21,478
"539",21,497
"540",22,29
"541",22,54
"542",22,62
"543",22,71
"544",22,95
"545",22,104
"546",22,109
"547",22,121
"548",22,122
"549",22,130
"550",22,132
"551",22,133
"552",22,147
"553",22,235
"554",22,268
"555",22,281
"556",22,305
"557",22,341
"558",22,347
"559",22,353
"560",22,369
"561",22,372
"562",22,377
"563",22,401
"564",22,430
"565",22,457
"566",22,465
"567",22,474
"568",22,484
"569",22,491
"570",22,498
"571",23,75
"572",23,101
"573",23,105
"574",23,153
"575",23,155
"576",23,178
"577",23,188
"578",23,198
"579",23,207
"580",23,221
"581",23,243
"582",23,253
"583",23,256
"584",23,270
"585",23,290
"586",23,306
"587",23,318
"588",23,328
"589",23,344
"590",23,349
"591",23,350
"592",23,389
"593",23,402
"594",23,443
"595",23,458
"596",24,13
"597",24,30
"598",24,38
"599",24,42
"600",24,49
"601",24,71
"602",24,72
"603",24,102
"604",24,116
"605",24,120
"606",24,128
"607",24,133
"608",24,145
"609",24,182
"610",24,225
"611",24,244
"612",24,269
"613",24,276
"614",24,287
"615",24,296
"616",24,354
"617",24,358
"618",24,419
"619",24,427
"620",24,447
"621",24,456
"622",24,493
"623",24,495
"624",25,39
"625",25,41
"626",25,79
"627",25,98
"628",25,104
"629",25,127
"630",25,160
"631",25,167
"632",25,189
"633",25,228
"634",25,241
"635",25,252
"636",25,257
"637",25,273
"638",25,275
"639",25,296
"640",25,308
"641",25,332
"642",25,347
"643",25,360
"644",25,370
"645",25,441
"646",25,467
"647",25,471
"648",25,476
"649",25,484
"650",25,493
"651",26,18
"652",26,51
"653",26,83
"654",26,85
"655",26,118
"656",26,204
"657",26,214
"658",26,221
"659",26,240
"660",26,253
"661",26,266
"662",26,269
"663",26,287
"664",26,293
"665",26,321
"666",26,323
"667",26,335
"668",26,339
"669",26,351
"670",26,366
"671",26,370
"672",26,374
"673",26,414
"674",26,421
"675",26,432
"676",26,442
"677",26,451
"678",26,495
"679",26,496
"680",27,6
"681",27,39
"682",27,57
"683",27,60
"684",27,78
"685",27,90
"686",27,95
"687",27,134
"688",27,140
"689",27,144
"690",27,155
"691",27,184
"692",27,195
"693",27,220
"694",27,239
"695",27,248
"696",27,254
"697",27,335
"698",27,351
"699",27,372
"700",27,374
"701",27,381
"702",27,412
"703",27,422
"704",27,459
"705",27,466
"706",27,471
"707",27,487
"708",27,498
"709",28,57
"710",28,74
"711",28,88
"712",28,118
"713",28,140
"714",28,154
"715",28,160
"716",28,179
"717",28,191
"718",28,193
"719",28,204
"720",28,209
"721",28,236
"722",28,237
"723",28,238
"724",28,244
"725",28,253
"726",28,259
"727",28,261
"728",28,298
"729",28,347
"730",28,356
"731",28,363
"732",28,416
"733",28,436
"734",28,472
"735",29,12
"736",29,22
"737",29,30
"738",29,31
"739",29,60
"740",29,69
"741",29,79
"742",29,128
"743",29,153
"744",29,156
"745",29,159
"746",29,178
"747",29,185
"748",29,246
"749",29,265
"750",29,266
"751",29,276
"752",29,284
"753",29,308
"754",29,368
"755",29,374
"756",29,426
"757",29,445
"758",29,447
"759",29,468
"760",29,476
"761",29,479
"762",29,483
"763",29,490
"764",29,495
"765",29,500
"766",30,14
"767",30,15
"768",30,24
"769",30,29
"770",30,33
"771",30,54
"772",30,57
"773",30,73
"774",30,74
"775",30,80
"776",30,93
"777",30,117
"778",30,144
"779",30,145
"780",30,190
"781",30,195
"782",30,200
"783",30,222
"784",30,226
"785",30,277
"786",30,283
"787",30,301
"788",30,305
"789",30,320
"790",30,330
"791",30,354
"792",30,371
"793",30,409
"794",30,412
"795",30,429
"796",30,434
"797",30,435
"798",30,446
"799",31,5
"800",31,29
"801",31,35
"802",31,72
"803",31,78
"804",31,79
"805",31,80
"806",31,99
"807",31,117
"808",31,145
"809",31,165
"810",31,187
"811",31,240
"812",31,247
"813",31,253
"814",31,301
"815",31,305
"816",31,343
"817",31,365
"818",31,378
"819",31,428
"820",31,465
"821",31,493
"822",31,498
"823",32,15
"824",32,17
"825",32,69
"826",32,93
"827",32,102
"828",32,109
"829",32,140
"830",32,158
"831",32,174
"832",32,185
"833",32,190
"834",32,200
"835",32,236
"836",32,248
"837",32,259
"838",32,280
"839",32,293
"840",32,296
"841",32,331
"842",32,369
"843",32,378
"844",32,380
"845",32,410
"846",32,412
"847",32,414
"848",32,415
"849",32,422
"850",32,437
"851",32,444
"852",32,470
"853",32,498
"854",32,499
"855",32,1886
"856",33,30
"857",33,35
"858",33,91
"859",33,165
"860",33,175
"861",33,194
"862",33,197
"863",33,223
"864",33,266
"865",33,323
"866",33,359
"867",33,410
"868",33,421
"869",33,475
"870",33,483
"871",33,494
"872",34,47
"873",34,78
"874",34,83
"875",34,101
"876",34,115
"877",34,156
"878",34,163
"879",34,207
"880",34,236
"881",34,291
"882",34,313
"883",34,319
"884",34,321
"885",34,329
"886",34,343
"887",34,355
"888",34,363
"889",34,367
"890",34,384
"891",34,423
"892",34,426
"893",34,439
"894",34,484
"895",34,500
"896",35,3
"897",35,17
"898",35,31
"899",35,33
"900",35,44
"901",35,62
"902",35,73
"903",35,99
"904",35,109
"905",35,115
"906",35,122
"907",35,124
"908",35,170
"909",35,189
"910",35,194
"911",35,203
"912",35,228
"913",35,240
"914",35,324
"915",35,332
"916",35,336
"917",35,347
"918",35,376
"919",35,398
"920",35,405
"921",35,431
"922",35,435
"923",35,436
"924",35,443
"925",35,477
"926",36,49
"927",36,50
"928",36,108
"929",36,166
"930",36,193
"931",36,255
"932",36,278
"933",36,280
"934",36,293
"935",36,294
"936",36,295
"937",36,300
"938",36,318
"939",36,338
"940",36,349
"941",36,381
"942",36,388
"943",36,399
"944",36,417
"945",36,445
"946",36,487
"947",36,490
"948",36,499
"949",37,6
"950",37,20
"951",37,42
"952",37,69
"953",37,98
"954",37,123
"955",37,153
"956",37,158
"957",37,183
"958",37,188
"959",37,195
"960",37,201
"961",37,209
"962",37,226
"963",37,252
"964",37,269
"965",37,348
"966",37,374
"967",37,384
"968",37,394
"969",37,443
"970",37,491
"971",37,496
"972",38,24
"973",38,51
"974",38,56
"975",38,70
"976",38,78
"977",38,80
"978",38,160
"979",38,165
"980",38,182
"981",38,188
"982",38,206
"983",38,242
"984",38,295
"985",38,350
"986",38,371
"987",38,384
"988",38,388
"989",38,413
"990",38,428
"991",38,435
"992",38,476
"993",38,484
"994",39,25
"995",39,27
"996",39,54
"997",39,61
"998",39,68
"999",39,83
"1000",39,121
"1001",39,141
"1002",39,165
"1003",39,201
"1004",39,204
"1005",39,229
"1006",39,231
"1007",39,237
"1008",39,247
"1009",39,248
"1010",39,263
"1011",39,292
"1012",39,297
"1013",39,298
"1014",39,310
"1015",39,314
"1016",39,341
"1017",39,373
"1018",39,408
"1019",39,409
"1020",39,417
"1021",39,433
"1022",39,437
"1023",39,460
"1024",39,483
"1025",39,491
"1026",40,8
"1027",40,17
"1028",40,19
"1029",40,83
"1030",40,96
"1031",40,121
"1032",40,146
"1033",40,168
"1034",40,170
"1035",40,217
"1036",40,226
"1037",40,232
"1038",40,239
"1039",40,249
"1040",40,251
"1041",40,253
"1042",40,316
"1043",40,321
"1044",40,344
"1045",40,380
"1046",40,393
"1047",40,419
"1048",40,448
"1049",40,461
"1050",40,467
"1051",40,477
"1052",40,481
"1053",40,494
"1054",40,496
"1055",40,500
"1056",41,1
"1057",41,8
"1058",41,25
"1059",41,61
"1060",41,87
"1061",41,100
"1062",41,105
"1063",41,130
"1064",41,146
"1065",41,215
"1066",41,250
"1067",41,252
"1068",41,267
"1069",41,305
"1070",41,324
"1071",41,328
"1072",41,380
"1073",41,404
"1074",41,431
"1075",41,447
"1076",41,463
"1077",41,471
"1078",41,475
"1079",41,476
"1080",42,2
"1081",42,24
"1082",42,37
"1083",42,59
"1084",42,68
"1085",42,70
"1086",42,98
"1087",42,144
"1088",42,152
"1089",42,164
"1090",42,202
"1091",42,206
"1092",42,214
"1093",42,216
"1094",42,243
"1095",42,245
"1096",42,304
"1097",42,322
"1098",42,331
"1099",42,343
"1100",42,384
"1101",42,434
"1102",42,757
"1103",43,6
"1104",43,49
"1105",43,53
"1106",43,66
"1107",43,104
"1108",43,106
"1109",43,149
"1110",43,157
"1111",43,164
"1112",43,197
"1113",43,200
"1114",43,235
"1115",43,268
"1116",43,275
"1117",43,310
"1118",43,319
"1119",43,340
"1120",43,423
"1121",43,447
"1122",43,458
"1123",43,470
"1124",43,482
"1125",43,484
"1126",43,488
"1127",44,9
"1128",44,35
"1129",44,45
"1130",44,71
"1131",44,96
"1132",44,109
"1133",44,119
"1134",44,134
"1135",44,139
"1136",44,144
"1137",44,146
"1138",44,152
"1139",44,168
"1140",44,185
"1141",44,210
"1142",44,214
"1143",44,241
"1144",44,266
"1145",44,305
"1146",44,337
"1147",44,367
"1148",44,385
"1149",44,388
"1150",44,406
"1151",44,416
"1152",44,422
"1153",44,425
"1154",44,445
"1155",44,448
"1156",44,461
"1157",44,497
"1158",44,500
"1159",45,2
"1160",45,44
"1161",45,65
"1162",45,71
"1163",45,138
"1164",45,139
"1165",45,197
"1166",45,199
"1167",45,207
"1168",45,252
"1169",45,261
"1170",45,304
"1171",45,325
"1172",45,356
"1173",45,404
"1174",45,416
"1175",45,439
"1176",45,464
"1177",45,488
"1178",46,1
"1179",46,13
"1180",46,18
"1181",46,64
"1182",46,66
"1183",46,98
"1184",46,102
"1185",46,109
"1186",46,135
"1187",46,144
"1188",46,161
"1189",46,162
"1190",46,185
"1191",46,197
"1192",46,206
"1193",46,208
"1194",46,212
"1195",46,213
"1196",46,238
"1197",46,247
"1198",46,256
"1199",46,257
"1200",46,267
"1201",46,288
"1202",46,294
"1203",46,301
"1204",46,338
"1205",46,348
"1206",46,356
"1207",46,403
"1208",46,416
"1209",46,473
"1210",46,481
"1211",47,4
"1212",47,34
"1213",47,96
"1214",47,128
"1215",47,146
"1216",47,148
"1217",47,181
"1218",47,210
"1219",47,243
"1220",47,275
"1221",47,279
"1222",47,283
"1223",47,327
"1224",47,341
"1225",47,360
"1226",47,364
"1227",47,370
"1228",47,401
"1229",47,411
"1230",47,412
"1231",47,465
"1232",47,475
"1233",48,52
"1234",48,59
"1235",48,65
"1236",48,79
"1237",48,108
"1238",48,118
"1239",48,130
"1240",48,133
"1241",48,183
"1242",48,205
"1243",48,224
"1244",48,225
"1245",48,237
"1246",48,240
"1247",48,245
"1248",48,250
"1249",48,260
"1250",48,264
"1251",48,270
"1252",48,293
"1253",48,311
"1254",48,378
"1255",48,412
"1256",48,421
"1257",48,433
"1258",48,480
"1259",48,491
"1260",48,492
"1261",48,496
"1262",49,24
"1263",49,36
"1264",49,43
"1265",49,115
"1266",49,120
"1267",49,139
"1268",49,143
"1269",49,145
"1270",49,164
"1271",49,235
"1272",49,256
"1273",49,260
"1274",49,274
"1275",49,277
"1276",49,282
"1277",49,283
"1278",49,292
"1279",49,314
"1280",49,342
"1281",49,350
"1282",49,364
"1283",49,390
"1284",49,394
"1285",49,405
"1286",49,425
"1287",49,479
"1288",50,9
"1289",50,36
"1290",50,68
"1291",50,80
"1292",50,81
"1293",50,144
"1294",50,146
"1295",50,163
"1296",50,164
"1297",50,183
"1298",50,190
"1299",50,241
"1300",50,284
"1301",50,297
"1302",50,314
"1303",50,339
"1304",50,345
"1305",50,406
"1306",50,414
"1307",50,426
"1308",50,428
"1309",50,486
"1310",50,1713
"1311",51,15
"1312",51,26
"1313",51,38
"1314",51,81
"1315",51,85
"1316",51,177
"1317",51,182
"1318",51,252
"1319",51,256
"1320",51,260
"1321",51,276
"1322",51,324
"1323",51,334
"1324",51,336
"1325",51,340
"1326",51,348
"1327",51,357
"1328",51,386
"1329",51,389
"1330",51,421
"1331",51,422
"1332",51,448
"1333",51,462
"1334",51,484
"1335",51,1210
"1336",52,48
"1337",52,56
"1338",52,60
"1339",52,76
"1340",52,88
"1341",52,205
"1342",52,228
"1343",52,311
"1344",52,321
"1345",52,345
"1346",52,355
"1347",52,384
"1348",52,404
"1349",52,419
"1350",52,467
"1351",52,494
"1352",53,43
"1353",53,69
"1354",53,89
"1355",53,111
"1356",53,118
"1357",53,135
"1358",53,179
"1359",53,230
"1360",53,263
"1361",53,299
"1362",53,303
"1363",53,327
"1364",53,347
"1365",53,390
"1366",53,429
"1367",53,433
"1368",53,437
"1369",53,443
"1370",53,467
"1371",53,489
"1372",54,13
"1373",54,16
"1374",54,22
"1375",54,30
"1376",54,39
"1377",54,56
"1378",54,61
"1379",54,76
"1380",54,80
"1381",54,88
"1382",54,94
"1383",54,154
"1384",54,213
"1385",54,217
"1386",54,220
"1387",54,273
"1388",54,288
"1389",54,351
"1390",54,369
"1391",54,371
"1392",54,398
"1393",54,414
"1394",54,420
"1395",54,436
"1396",54,454
"1397",54,455
"1398",54,460
"1399",54,462
"1400",54,485
"1401",54,488
"1402",54,492
"1403",55,59
"1404",55,60
"1405",55,61
"1406",55,79
"1407",55,162
"1408",55,200
"1409",55,226
"1410",55,274
"1411",55,276
"1412",55,295
"1413",55,350
"1414",55,354
"1415",55,367
"1416",55,377
"1417",55,390
"1418",55,395
"1419",55,429
"1420",55,435
"1421",55,437
"1422",55,445
"1423",55,447
"1424",55,460
"1425",55,465
"1426",56,13
"1427",56,16
"1428",56,38
"1429",56,52
"1430",56,54
"1431",56,76
"1432",56,84
"1433",56,137
"1434",56,198
"1435",56,206
"1436",56,271
"1437",56,280
"1438",56,286
"1439",56,299
"1440",56,328
"1441",56,413
"1442",56,470
"1443",56,471
"1444",56,491
"1445",57,27
"1446",57,28
"1447",57,30
"1448",57,70
"1449",57,148
"1450",57,170
"1451",57,183
"1452",57,185
"1453",57,221
"1454",57,263
"1455",57,276
"1456",57,298
"1457",57,374
"1458",57,384
"1459",57,393
"1460",57,445
"1461",57,455
"1462",57,484
"1463",57,495
"1464",58,61
"1465",58,94
"1466",58,137
"1467",58,138
"1468",58,150
"1469",58,154
"1470",58,184
"1471",58,247
"1472",58,285
"1473",58,321
"1474",58,322
"1475",58,347
"1476",58,351
"1477",58,373
"1478",58,374
"1479",58,380
"1480",58,404
"1481",58,431
"1482",59,6
"1483",59,12
"1484",59,42
"1485",59,48
"1486",59,55
"1487",59,78
"1488",59,86
"1489",59,94
"1490",59,98
"1491",59,106
"1492",59,165
"1493",59,169
"1494",59,230
"1495",59,238
"1496",59,259
"1497",59,270
"1498",59,277
"1499",59,279
"1500",59,284
"1501",59,295
"1502",59,386
"1503",59,389
"1504",59,415
"1505",59,431
"1506",59,439
"1507",60,27
"1508",60,29
"1509",60,52
"1510",60,55
"1511",60,86
"1512",60,137
"1513",60,149
"1514",60,155
"1515",60,174
"1516",60,191
"1517",60,193
"1518",60,204
"1519",60,218
"1520",60,235
"1521",60,289
"1522",60,301
"1523",60,304
"1524",60,324
"1525",60,334
"1526",60,361
"1527",60,374
"1528",60,377
"1529",60,388
"1530",60,455
"1531",60,471
"1532",60,473
"1533",61,11
"1534",61,39
"1535",61,41
"1536",61,54
"1537",61,55
"1538",61,58
"1539",61,76
"1540",61,84
"1541",61,90
"1542",61,106
"1543",61,146
"1544",61,147
"1545",61,148
"1546",61,159
"1547",61,205
"1548",61,213
"1549",61,238
"1550",61,247
"1551",61,257
"1552",61,265
"1553",61,269
"1554",61,294
"1555",61,296
"1556",61,319
"1557",61,385
"1558",61,430
"1559",61,434
"1560",61,458
"1561",61,469
"1562",62,1
"1563",62,12
"1564",62,16
"1565",62,22
"1566",62,35
"1567",62,76
"1568",62,84
"1569",62,89
"1570",62,97
"1571",62,114
"1572",62,133
"1573",62,162
"1574",62,212
"1575",62,231
"1576",62,243
"1577",62,260
"1578",62,276
"1579",62,301
"1580",62,312
"1581",62,318
"1582",62,331
"1583",62,392
"1584",62,424
"1585",62,438
"1586",62,443
"1587",62,470
"1588",62,475
"1589",62,478
"1590",62,495
"1591",62,499
"1592",63,80
"1593",63,106
"1594",63,118
"1595",63,129
"1596",63,142
"1597",63,159
"1598",63,175
"1599",63,183
"1600",63,185
"1601",63,219
"1602",63,221
"1603",63,246
"1604",63,251
"1605",63,256
"1606",63,266
"1607",63,278
"1608",63,287
"1609",63,313
"1610",63,317
"1611",63,328
"1612",63,344
"1613",63,373
"1614",63,374
"1615",63,383
"1616",63,433
"1617",63,439
"1618",63,475
"1619",63,481
"1620",63,494
"1621",63,497
"1622",64,46
"1623",64,106
"1624",64,124
"1625",64,130
"1626",64,139
"1627",64,161
"1628",64,164
"1629",64,170
"1630",64,193
"1631",64,207
"1632",64,209
"1633",64,265
"1634",64,289
"1635",64,294
"1636",64,296
"1637",64,311
"1638",64,323
"1639",64,389
"1640",64,431
"1641",64,442
"1642",64,445
"1643",64,446
"1644",64,462
"1645",65,10
"1646",65,11
"1647",65,13
"1648",65,45
"1649",65,48
"1650",65,74
"1651",65,76
"1652",65,112
"1653",65,139
"1654",65,193
"1655",65,208
"1656",65,237
"1657",65,270
"1658",65,309
"1659",65,405
"1660",65,420
"1661",65,477
"1662",65,485
"1663",65,488
"1664",65,498
"1665",66,11
"1666",66,21
"1667",66,43
"1668",66,46
"1669",66,86
"1670",66,88
"1671",66,117
"1672",66,124
"1673",66,131
"1674",66,132
"1675",66,137
"1676",66,143
"1677",66,159
"1678",66,162
"1679",66,166
"1680",66,168
"1681",66,170
"1682",66,186
"1683",66,187
"1684",66,192
"1685",66,203
"1686",66,219
"1687",66,226
"1688",66,234
"1689",66,282
"1690",66,298
"1691",66,331
"1692",66,363
"1693",66,373
"1694",66,410
"1695",66,445
"1696",66,452
"1697",67,75
"1698",67,101
"1699",67,216
"1700",67,223
"1701",67,240
"1702",67,246
"1703",67,267
"1704",67,310
"1705",67,312
"1706",67,329
"1707",67,332
"1708",67,352
"1709",67,373
"1710",67,387
"1711",67,389
"1712",67,398
"1713",67,401
"1714",67,453
"1715",67,471
"1716",68,39
"1717",68,42
"1718",68,50
"1719",68,102
"1720",68,140
"1721",68,151
"1722",68,171
"1723",68,179
"1724",68,186
"1725",68,217
"1726",68,258
"1727",68,264
"1728",68,288
"1729",68,305
"1730",68,310
"1731",68,388
"1732",68,406
"1733",68,407
"1734",68,411
"1735",68,454
"1736",69,3
"1737",69,29
"1738",69,32
"1739",69,37
"1740",69,53
"1741",69,110
"1742",69,133
"1743",69,143
"1744",69,177
"1745",69,188
"1746",69,203
"1747",69,212
"1748",69,215
"1749",69,217
"1750",69,221
"1751",69,254
"1752",69,303
"1753",69,310
"1754",69,345
"1755",69,358
"1756",69,380
"1757",69,439
"1758",69,447
"1759",69,448
"1760",69,458
"1761",70,21
"1762",70,38
"1763",70,42
"1764",70,57
"1765",70,110
"1766",70,112
"1767",70,114
"1768",70,121
"1769",70,122
"1770",70,123
"1771",70,134
"1772",70,164
"1773",70,207
"1774",70,234
"1775",70,235
"1776",70,255
"1777",70,258
"1778",70,291
"1779",70,301
"1780",70,311
"1781",70,352
"1782",70,380
"1783",70,402
"1784",70,419
"1785",70,445
"1786",70,446
"1787",70,456
"1788",70,1933
"1789",71,22
"1790",71,24
"1791",71,44
"1792",71,45
"1793",71,106
"1794",71,146
"1795",71,158
"1796",71,182
"1797",71,187
"1798",71,248
"1799",71,251
"1800",71,256
"1801",71,258
"1802",71,263
"1803",71,310
"1804",71,324
"1805",71,336
"1806",71,352
"1807",71,373
"1808",71,384
"1809",71,394
"1810",71,409
"1811",71,416
"1812",71,419
"1813",71,456
"1814",71,461
"1815",71,469
"1816",71,475
"1817",71,480
"1818",71,500
"1819",72,24
"1820",72,31
"1821",72,82
"1822",72,97
"1823",72,121
"1824",72,144
"1825",72,166
"1826",72,212
"1827",72,240
"1828",72,270
"1829",72,336
"1830",72,348
"1831",72,358
"1832",72,362
"1833",72,445
"1834",72,453
"1835",72,484
"1836",72,486
"1837",73,30
"1838",73,35
"1839",73,101
"1840",73,116
"1841",73,123
"1842",73,138
"1843",73,156
"1844",73,157
"1845",73,172
"1846",73,186
"1847",73,191
"1848",73,193
"1849",73,197
"1850",73,214
"1851",73,251
"1852",73,272
"1853",73,294
"1854",73,336
"1855",73,341
"1856",73,373
"1857",73,498
"1858",74,5
"1859",74,28
"1860",74,30
"1861",74,65
"1862",74,122
"1863",74,136
"1864",74,157
"1865",74,170
"1866",74,172
"1867",74,210
"1868",74,227
"1869",74,232
"1870",74,243
"1871",74,252
"1872",74,256
